champion,role,games,winrate_brut,wilson_lower_bound,pick_rate,ban_rate,presence_score,trend
Maokai,JUNGLE,96,0.458333,0.362187,0.008181,0.004943,0.013124,stable (+0.000)
Nunu & Willump,JUNGLE,11,0.636364,0.353797,0.000937,0.002898,0.003835,stable (+0.000)
Zyra,JUNGLE,48,0.479167,0.344711,0.004091,0.007159,0.011249,stable (+0.000)
Sylas,JUNGLE,37,0.459459,0.310383,0.003153,0.052667,0.055821,stable (+0.000)
Shen,JUNGLE,25,0.480000,0.300310,0.002131,0.020965,0.023095,stable (+0.000)
Neeko,JUNGLE,6,0.666667,0.299988,0.000511,0.199932,0.200443,stable (+0.000)
Shyvana,JUNGLE,20,0.500000,0.299295,0.001704,0.002216,0.003920,stable (+0.000)
Darius,JUNGLE,13,0.538462,0.291434,0.001108,0.011761,0.012869,stable (+0.000)
Lillia,JUNGLE,18,0.500000,0.290307,0.001534,0.003750,0.005284,stable (+0.000)
Graves,JUNGLE,16,0.500000,0.279992,0.001364,0.003920,0.005284,stable (+0.000)
Viego,JUNGLE,98,0.367347,0.278587,0.008352,0.016363,0.024715,stable (+0.000)
Ivern,JUNGLE,27,0.444444,0.275856,0.002301,0.010227,0.012528,stable (+0.000)
Volibear,JUNGLE,29,0.413793,0.255129,0.002471,0.007840,0.010312,stable (+0.000)
Talon,JUNGLE,7,0.571429,0.250454,0.000597,0.002557,0.003153,stable (+0.000)
Diana,JUNGLE,21,0.428571,0.244697,0.001790,0.009715,0.011505,stable (+0.000)
Brand,JUNGLE,5,0.600000,0.230720,0.000426,0.000511,0.000937,stable (+0.000)
Morgana,JUNGLE,5,0.600000,0.230720,0.000426,0.001534,0.001960,stable (+0.000)
Hecarim,JUNGLE,21,0.380952,0.207508,0.001790,0.006136,0.007926,stable (+0.000)
Ekko,JUNGLE,1,1.000000,0.206543,0.000085,0.003238,0.003324,stable (+0.000)
Syndra,JUNGLE,1,1.000000,0.206543,0.000085,0.098006,0.098091,stable (+0.000)
Tristana,JUNGLE,1,1.000000,0.206543,0.000085,0.011931,0.012016,stable (+0.000)
Gwen,JUNGLE,25,0.360000,0.202477,0.002131,0.130731,0.132862,stable (+0.000)
Karthus,JUNGLE,7,0.428571,0.158217,0.000597,0.001193,0.001790,stable (+0.000)
Udyr,JUNGLE,7,0.428571,0.158217,0.000597,0.001364,0.001960,stable (+0.000)
Kindred,JUNGLE,33,0.272727,0.150673,0.002812,0.008181,0.010994,stable (+0.000)
