champion_1,champion_2,games,winrate
Braum,Neeko,1,0.0
Braum,Nunu & Willump,1,1.0
Braum,Olaf,1,0.0
Braum,Rek'Sai,1,0.0
Braum,Shen,1,0.0
Braum,Sion,1,0.0
Braum,Talon,1,0.0
Braum,Zyra,1,1.0
Briar,Sylas,1,0.0
Camille,Ivern,1,0.0
Camille,Karma,1,1.0
Camille,Kayn,1,1.0
Camille,Kha'Zix,1,1.0
Camille,Kindred,1,1.0
Camille,Lillia,1,0.0
Camille,Neeko,1,0.0
Camille,Nidalee,1,0.0
Camille,Seraphine,1,0.0
Camille,Shyvana,1,1.0
Camille,Sylas,1,0.0
Camille,Zed,1,0.0
Cho'Gath,Leona,1,0.0
Cho'Gath,Lulu,1,0.0
Cho'Gath,Nautilus,1,0.0
Darius,Karma,1,0.0
Darius,Nautilus,1,1.0
Darius,Renata Glasc,1,0.0
Diana,Heimerdinger,1,0.0
Diana,Lulu,1,1.0
Diana,Nami,1,0.0
Diana,Nidalee,1,1.0
Diana,Rakan,1,1.0
Diana,Zac,1,0.0
Dr. Mundo,Elise,1,1.0
Dr. Mundo,Galio,1,0.0
Dr. Mundo,Lux,1,1.0
Dr. Mundo,Morgana,1,0.0
Dr. Mundo,Pantheon,1,1.0
Dr. Mundo,Renata Glasc,1,0.0
Dr. Mundo,Shen,1,0.0
Dr. Mundo,Zilean,1,0.0
Ekko,Neeko,1,1.0
Elise,Naafiri,1,0.0
Elise,Nidalee,1,1.0
Elise,Olaf,1,1.0
Elise,Poppy,1,0.0
Elise,Rek'Sai,1,0.0
Elise,Rengar,1,0.0
Elise,Skarner,1,0.0
Elise,Zed,1,0.0
Ezreal,Nocturne,1,1.0
Fiddlesticks,Lulu,1,0.0
Fiddlesticks,Nautilus,1,0.0
Fiddlesticks,Neeko,1,1.0
Fiddlesticks,Seraphine,1,0.0
Fiddlesticks,Shyvana,1,0.0
Fiddlesticks,Xin Zhao,1,0.0
Fizz,Lulu,1,0.0
Galio,Jayce,1,0.0
Galio,Master Yi,1,0.0
Galio,Naafiri,1,0.0
Galio,Wukong,1,0.0
Galio,Xin Zhao,1,0.0
Gnar,Lulu,1,0.0
Gnar,Seraphine,1,0.0
Gragas,Lee Sin,1,0.0
Gragas,Skarner,1,0.0
Graves,Leona,1,0.0
Graves,Lulu,1,1.0
Graves,Milio,1,1.0
Graves,Rakan,1,0.0
Graves,Seraphine,1,0.0
Gwen,Lux,1,0.0
Gwen,Neeko,1,1.0
Gwen,Seraphine,1,0.0
Gwen,Thresh,1,1.0
Hecarim,Karma,1,1.0
